,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
145,100.0,150.0,1.0,0.1,13.0,0.05,18.0,0.04179726,1513.0,63.041666666666664
146,100.0,150.0,1.0,0.1,13.0,0.1,19.0,0.04411933,1575.0,65.625
147,100.0,150.0,1.0,0.1,14.0,0.01,19.0,0.04411933,1552.0,64.66666666666667
148,100.0,150.0,1.0,0.1,14.0,0.05,19.0,0.04411933,1562.0,65.08333333333333
149,100.0,150.0,1.0,0.1,14.0,0.1,20.0,0.0464414,1644.0,68.5
150,100.0,150.0,1.0,0.1,15.0,0.01,19.0,0.04411933,1802.0,75.08333333333333
151,100.0,150.0,1.0,0.1,15.0,0.05,20.0,0.0464414,1869.0,77.875
152,100.0,150.0,1.0,0.1,15.0,0.1,22.0,0.05108554,1550.0,64.58333333333333
153,100.0,150.0,1.0,0.1,16.0,0.01,21.0,0.04876347,1407.0,58.625
154,100.0,150.0,1.0,0.1,16.0,0.05,21.0,0.04876347,1641.0,68.375
155,100.0,150.0,1.0,0.1,16.0,0.1,20.0,0.0464414,1748.0,72.83333333333333
156,100.0,150.0,1.0,0.1,17.0,0.01,23.0,0.05340761,1704.0,71.0
157,100.0,150.0,1.0,0.1,17.0,0.05,20.0,0.0464414,1667.0,69.45833333333333
158,100.0,150.0,1.0,0.1,17.0,0.1,17.0,0.03947519,2042.0,85.08333333333333
159,100.0,150.0,1.0,0.1,18.0,0.01,20.0,0.0464414,1446.0,60.25
160,100.0,150.0,1.0,0.1,18.0,0.05,18.0,0.04179726,1574.0,65.58333333333333
161,100.0,150.0,1.0,0.1,18.0,0.1,20.0,0.0464414,1586.0,66.08333333333333
162,100.0,200.0,1.0,0.01,10.0,0.01,179.0,0.41565053,15840.0,660.0
163,100.0,200.0,1.0,0.01,10.0,0.05,119.0,0.27632633,10430.0,434.5833333333333
164,100.0,200.0,1.0,0.01,10.0,0.1,82.0,0.19040974,7054.0,293.9166666666667
165,100.0,200.0,1.0,0.01,11.0,0.01,184.0,0.42726088,15749.0,656.2083333333334
166,100.0,200.0,1.0,0.01,11.0,0.05,125.0,0.29025875,11163.0,465.125
