,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
84,100.0,150.0,1.0,0.01,14.0,0.01,182.0,0.42261674,15718.0,654.9166666666666
85,100.0,150.0,1.0,0.01,14.0,0.05,160.0,0.3715312,13965.0,581.875
86,100.0,150.0,1.0,0.01,14.0,0.1,138.0,0.32044566,12250.0,510.4166666666667
87,100.0,150.0,1.0,0.01,15.0,0.01,192.0,0.44583744,16140.0,672.5
88,100.0,150.0,1.0,0.01,15.0,0.05,181.0,0.42029467,15062.0,627.5833333333334
89,100.0,150.0,1.0,0.01,15.0,0.1,168.0,0.39010776,14223.0,592.625
90,100.0,150.0,1.0,0.01,16.0,0.01,190.0,0.4411933,16627.0,692.7916666666666
91,100.0,150.0,1.0,0.01,16.0,0.05,192.0,0.44583744,15780.0,657.5
92,100.0,150.0,1.0,0.01,16.0,0.1,187.0,0.43422709,16233.0,676.375
93,100.0,150.0,1.0,0.01,17.0,0.01,190.0,0.4411933,16823.0,700.9583333333334
94,100.0,150.0,1.0,0.01,17.0,0.05,198.0,0.45976986,16450.0,685.4166666666666
95,100.0,150.0,1.0,0.01,17.0,0.1,198.0,0.45976986,16164.0,673.5
96,100.0,150.0,1.0,0.05,10.0,0.01,41.0,0.09520487,2635.0,109.79166666666667
97,100.0,150.0,1.0,0.05,10.0,0.05,35.0,0.08127245,2942.0,122.58333333333333
98,100.0,150.0,1.0,0.05,10.0,0.1,30.0,0.0696621,2664.0,111.0
99,100.0,150.0,1.0,0.05,11.0,0.01,38.0,0.08823866,3198.0,133.25
100,100.0,150.0,1.0,0.05,11.0,0.05,37.0,0.08591659,3028.0,126.16666666666667
101,100.0,150.0,1.0,0.05,11.0,0.1,30.0,0.0696621,2670.0,111.25
102,100.0,150.0,1.0,0.05,12.0,0.01,38.0,0.08823866,3364.0,140.16666666666666
103,100.0,150.0,1.0,0.05,12.0,0.05,35.0,0.08127245,3183.0,132.625
104,100.0,150.0,1.0,0.05,12.0,0.1,31.0,0.07198417,3132.0,130.5
105,100.0,150.0,1.0,0.05,13.0,0.01,38.0,0.08823866,2837.0,118.20833333333333
106,100.0,150.0,1.0,0.05,13.0,0.05,37.0,0.08591659,3279.0,136.625
107,100.0,150.0,1.0,0.05,13.0,0.1,36.0,0.08359452,2967.0,123.625
108,100.0,150.0,1.0,0.05,14.0,0.01,38.0,0.08823866,3483.0,145.125
109,100.0,150.0,1.0,0.05,14.0,0.05,37.0,0.08591659,3222.0,134.25
110,100.0,150.0,1.0,0.05,14.0,0.1,35.0,0.08127245,3169.0,132.04166666666666
111,100.0,150.0,1.0,0.05,15.0,0.01,40.0,0.0928828,3402.0,141.75
112,100.0,150.0,1.0,0.05,15.0,0.05,42.0,0.09752694,3131.0,130.45833333333334
113,100.0,150.0,1.0,0.05,15.0,0.1,37.0,0.08591659,3612.0,150.5
114,100.0,150.0,1.0,0.05,16.0,0.01,38.0,0.08823866,3319.0,138.29166666666666
115,100.0,150.0,1.0,0.05,16.0,0.05,39.0,0.09056073,3164.0,131.83333333333334
116,100.0,150.0,1.0,0.05,16.0,0.1,38.0,0.08823866,3117.0,129.875
117,100.0,150.0,1.0,0.05,17.0,0.01,41.0,0.09520487,3266.0,136.08333333333334
118,100.0,150.0,1.0,0.05,17.0,0.05,39.0,0.09056073,3332.0,138.83333333333334
119,100.0,150.0,1.0,0.05,17.0,0.1,42.0,0.09752694,3289.0,137.04166666666666
120,100.0,150.0,1.0,0.1,10.0,0.01,20.0,0.0464414,1477.0,61.541666666666664
121,100.0,150.0,1.0,0.1,10.0,0.05,18.0,0.04179726,1484.0,61.833333333333336
122,100.0,150.0,1.0,0.1,10.0,0.1,17.0,0.03947519,1366.0,56.916666666666664
123,100.0,150.0,1.0,0.1,11.0,0.01,18.0,0.04179726,1866.0,77.75
124,100.0,150.0,1.0,0.1,11.0,0.05,17.0,0.03947519,1696.0,70.66666666666667
125,100.0,150.0,1.0,0.1,11.0,0.1,19.0,0.04411933,1256.0,52.333333333333336
126,100.0,150.0,1.0,0.1,12.0,0.01,21.0,0.04876347,1555.0,64.79166666666667
127,100.0,150.0,1.0,0.1,12.0,0.05,21.0,0.04876347,1622.0,67.58333333333333
128,100.0,150.0,1.0,0.1,12.0,0.1,18.0,0.04179726,1779.0,74.125
129,100.0,150.0,1.0,0.1,13.0,0.01,19.0,0.04411933,1736.0,72.33333333333333
130,100.0,150.0,1.0,0.1,13.0,0.05,17.0,0.03947519,1765.0,73.54166666666667
131,100.0,150.0,1.0,0.1,13.0,0.1,17.0,0.03947519,1467.0,61.125
132,100.0,150.0,1.0,0.1,14.0,0.01,18.0,0.04179726,1625.0,67.70833333333333
133,100.0,150.0,1.0,0.1,14.0,0.05,19.0,0.04411933,1675.0,69.79166666666667
134,100.0,150.0,1.0,0.1,14.0,0.1,20.0,0.0464414,1577.0,65.70833333333333
135,100.0,150.0,1.0,0.1,15.0,0.01,19.0,0.04411933,1572.0,65.5
136,100.0,150.0,1.0,0.1,15.0,0.05,18.0,0.04179726,1711.0,71.29166666666667
137,100.0,150.0,1.0,0.1,15.0,0.1,18.0,0.04179726,1707.0,71.125
138,100.0,150.0,1.0,0.1,16.0,0.01,19.0,0.04411933,1854.0,77.25
139,100.0,150.0,1.0,0.1,16.0,0.05,19.0,0.04411933,1566.0,65.25
140,100.0,150.0,1.0,0.1,16.0,0.1,20.0,0.0464414,1638.0,68.25
141,100.0,150.0,1.0,0.1,17.0,0.01,18.0,0.04179726,1519.0,63.291666666666664
142,100.0,150.0,1.0,0.1,17.0,0.05,20.0,0.0464414,1568.0,65.33333333333333
143,100.0,150.0,1.0,0.1,17.0,0.1,19.0,0.04411933,1847.0,76.95833333333333
144,100.0,200.0,1.0,0.01,10.0,0.01,184.0,0.42726088,14459.0,602.4583333333334
145,100.0,200.0,1.0,0.01,10.0,0.05,120.0,0.2786484,9438.0,393.25
146,100.0,200.0,1.0,0.01,10.0,0.1,83.0,0.19273181,6833.0,284.7083333333333
147,100.0,200.0,1.0,0.01,11.0,0.01,185.0,0.42958295,14902.0,620.9166666666666
148,100.0,200.0,1.0,0.01,11.0,0.05,129.0,0.29954703,10051.0,418.7916666666667
149,100.0,200.0,1.0,0.01,11.0,0.1,95.0,0.22059665,7801.0,325.0416666666667
150,100.0,200.0,1.0,0.01,12.0,0.01,191.0,0.44351537,15256.0,635.6666666666666
151,100.0,200.0,1.0,0.01,12.0,0.05,134.0,0.31115738,12627.0,526.125
152,100.0,200.0,1.0,0.01,12.0,0.1,105.0,0.24381735,8839.0,368.2916666666667
153,100.0,200.0,1.0,0.01,13.0,0.01,200.0,0.464414,15895.0,662.2916666666666
154,100.0,200.0,1.0,0.01,13.0,0.05,155.0,0.35992085,13149.0,547.875
155,100.0,200.0,1.0,0.01,13.0,0.1,126.0,0.29258082,9832.0,409.6666666666667
156,100.0,200.0,1.0,0.01,14.0,0.01,200.0,0.464414,16612.0,692.1666666666666
157,100.0,200.0,1.0,0.01,14.0,0.05,168.0,0.39010776,15490.0,645.4166666666666
158,100.0,200.0,1.0,0.01,14.0,0.1,146.0,0.33902222,13069.0,544.5416666666666
