,B_VALUE,C_VALUE,BETA_S1,BETA_S2,transactions,ETH
199,400.0,800.0,0.1,400.0,15.0,0.03483105
200,400.0,900.0,0.01,100.0,96587.0,224.28177509
201,400.0,900.0,0.01,200.0,390.0,0.9056073
202,400.0,900.0,0.01,300.0,200.0,0.464414
203,400.0,900.0,0.01,400.0,135.0,0.31347945
204,400.0,900.0,0.1,100.0,9664.0,22.44048448
205,400.0,900.0,0.1,200.0,41.0,0.09520487
206,400.0,900.0,0.1,300.0,22.0,0.05108554
207,400.0,900.0,0.1,400.0,15.0,0.03483105
208,400.0,1000.0,0.01,100.0,87009.0,202.04098863
209,400.0,1000.0,0.01,200.0,390.0,0.9056073
210,400.0,1000.0,0.01,300.0,199.0,0.46209193
211,400.0,1000.0,0.01,400.0,135.0,0.31347945
212,400.0,1000.0,0.1,100.0,8706.0,20.21594142
213,400.0,1000.0,0.1,200.0,41.0,0.09520487
214,400.0,1000.0,0.1,300.0,22.0,0.05108554
215,400.0,1000.0,0.1,400.0,15.0,0.03483105
216,500.0,200.0,0.01,100.0,842768.0,1956.96628976
217,500.0,200.0,0.01,200.0,500.0,1.161035
218,500.0,200.0,0.01,300.0,252.0,0.58516164
219,500.0,200.0,0.01,400.0,169.0,0.39242983
220,500.0,200.0,0.1,100.0,84283.0,195.71102581
221,500.0,200.0,0.1,200.0,52.0,0.12074764
222,500.0,200.0,0.1,300.0,27.0,0.06269589
223,500.0,200.0,0.1,400.0,18.0,0.04179726
224,500.0,300.0,0.01,100.0,562184.0,1305.43060088
225,500.0,300.0,0.01,200.0,498.0,1.15639086
226,500.0,300.0,0.01,300.0,252.0,0.58516164
227,500.0,300.0,0.01,400.0,169.0,0.39242983
228,500.0,300.0,0.1,100.0,56224.0,130.55606368
229,500.0,300.0,0.1,200.0,51.0,0.11842557
230,500.0,300.0,0.1,300.0,27.0,0.06269589
231,500.0,300.0,0.1,400.0,18.0,0.04179726
232,500.0,400.0,0.01,100.0,421892.0,979.66275644
233,500.0,400.0,0.01,200.0,496.0,1.15174672
234,500.0,400.0,0.01,300.0,252.0,0.58516164
235,500.0,400.0,0.01,400.0,169.0,0.39242983
236,500.0,400.0,0.1,100.0,42195.0,97.97974365
237,500.0,400.0,0.1,200.0,51.0,0.11842557
238,500.0,400.0,0.1,300.0,27.0,0.06269589
239,500.0,400.0,0.1,400.0,18.0,0.04179726
240,500.0,500.0,0.01,100.0,337717.0,784.20251419
241,500.0,500.0,0.01,200.0,495.0,1.14942465
242,500.0,500.0,0.01,300.0,251.0,0.58283957
243,500.0,500.0,0.01,400.0,169.0,0.39242983
244,500.0,500.0,0.1,100.0,33778.0,78.43488046
